
---------- Begin Simulation Statistics ----------
simSeconds                                   0.111080                       # Number of seconds simulated (Second)
simTicks                                 111079799824                       # Number of ticks simulated (Tick)
finalTick                                111079799824                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    906.76                       # Real time elapsed on the host (Second)
hostTickRate                                122502540                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2286620                       # Number of bytes of host memory used (Byte)
simInsts                                    261123666                       # Number of instructions simulated (Count)
simOps                                      312341065                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   287976                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     344460                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        233360925                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.892888                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.119962                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335418411                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177210                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331013492                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 196321                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23254555                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19447542                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1068                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           232959393                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.420906                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.288400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73528140     31.56%     31.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  57155959     24.53%     56.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51675277     22.18%     78.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35030759     15.04%     93.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12703702      5.45%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2602897      1.12%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    254025      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7813      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       821      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             232959393                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6324040     20.86%     20.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 352233      1.16%     22.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   15586      0.05%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  869      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     22.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1976565      6.52%     28.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              989773      3.26%     31.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 726414      2.40%     34.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 263099      0.87%     35.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     35.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                962651      3.18%     38.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 71731      0.24%     38.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc             491488      1.62%     40.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     40.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift               249689      0.82%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     40.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     40.98% # attempts to use FU when none available (Count)
