
---------- Begin Simulation Statistics ----------
simSeconds                                   0.110791                       # Number of seconds simulated (Second)
simTicks                                 110791127244                       # Number of ticks simulated (Tick)
finalTick                                110791127244                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1042.07                       # Real time elapsed on the host (Second)
hostTickRate                                106318652                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2286620                       # Number of bytes of host memory used (Byte)
simInsts                                    261123686                       # Number of instructions simulated (Count)
simOps                                      312341085                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250582                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     299732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        232754470                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.890567                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.122880                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335767537                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177334                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331310804                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 263206                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23603785                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19513396                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1192                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           232352166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.425899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.282201                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  72271120     31.10%     31.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  57686337     24.83%     55.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51786723     22.29%     78.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35379799     15.23%     93.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12476934      5.37%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2515049      1.08%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    225647      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9695      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       862      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             232352166                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6303839     20.79%     20.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 321765      1.06%     21.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   18492      0.06%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  517      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     21.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1981526      6.54%     28.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc             1015446      3.35%     31.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 780600      2.57%     34.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 323690      1.07%     35.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     35.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1015897      3.35%     38.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 83822      0.28%     39.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc             500933      1.65%     40.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     40.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift               256230      0.85%     41.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     41.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     41.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     41.57% # attempts to use FU when none available (Count)
