
---------- Begin Simulation Statistics ----------
simSeconds                                   0.104487                       # Number of seconds simulated (Second)
simTicks                                 104486856628                       # Number of ticks simulated (Tick)
finalTick                                104486856628                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1434.69                       # Real time elapsed on the host (Second)
hostTickRate                                 72828891                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2250028                       # Number of bytes of host memory used (Byte)
simInsts                                    230473173                       # Number of instructions simulated (Count)
simOps                                      321832734                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160643                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     224322                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        219510204                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952327                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.050060                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333037934                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12127                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331878042                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13334                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11217326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12552769                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 254                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           219237339                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.513784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.128655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  47977615     21.88%     21.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  60392590     27.55%     49.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  73864906     33.69%     83.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  25814108     11.77%     94.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9844032      4.49%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1127340      0.51%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    216748      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             219237339                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2577619      8.35%      8.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  31964      0.10%      8.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1908      0.01%      8.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 27773      0.09%      8.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  4105      0.01%      8.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    33      0.00%      8.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               178600      0.58%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            100847      0.33%      9.47% # attempts to use FU when none available (Count)
