
---------- Begin Simulation Statistics ----------
simSeconds                                   0.100313                       # Number of seconds simulated (Second)
simTicks                                 100313431428                       # Number of ticks simulated (Tick)
finalTick                                100313431428                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1435.05                       # Real time elapsed on the host (Second)
hostTickRate                                 69902320                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2262956                       # Number of bytes of host memory used (Byte)
simInsts                                    230473173                       # Number of instructions simulated (Count)
simOps                                      321832734                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160603                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     224266                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210742504                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.914289                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.093746                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333047780                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13062                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      337391938                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25498                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11228107                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13187382                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1189                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210465391                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.603076                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.316208                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  54251753     25.78%     25.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  47739954     22.68%     48.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  59761354     28.39%     76.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  30087878     14.30%     91.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13996707      6.65%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3946464      1.88%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    622473      0.30%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     58808      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             210465391                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4542049     10.58%     10.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  24553      0.06%     10.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2176      0.01%     10.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                637471      1.49%     12.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5611      0.01%     12.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    28      0.00%     12.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               214982      0.50%     12.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            124572      0.29%     12.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     4      0.00%     12.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 9325      0.02%     12.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    1      0.00%     12.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1147424      2.67%     15.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     15.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                4726609     11.01%     26.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    307      0.00%     26.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     26.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1901830      4.43%     31.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     31.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     31.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     31.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     31.08% # attempts to use FU when none available (Count)
