
---------- Begin Simulation Statistics ----------
simSeconds                                   0.098872                       # Number of seconds simulated (Second)
simTicks                                  98871823540                       # Number of ticks simulated (Tick)
finalTick                                 98871823540                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1491.84                       # Real time elapsed on the host (Second)
hostTickRate                                 66274874                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2275756                       # Number of bytes of host memory used (Byte)
simInsts                                    230473173                       # Number of instructions simulated (Count)
simOps                                      321832734                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   154489                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     215728                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        207713916                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.901150                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.109694                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333306997                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13064                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      337550272                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28344                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11487326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13574939                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1191                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           207428677                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.627308                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.318587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  50765477     24.47%     24.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  49479794     23.85%     48.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  58218657     28.07%     76.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  29963822     14.45%     90.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14269947      6.88%     97.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3842105      1.85%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    777056      0.37%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    105503      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6316      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             207428677                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4389598     10.04%     10.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  21632      0.05%     10.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2290      0.01%     10.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                438745      1.00%     11.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5700      0.01%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    27      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               230758      0.53%     11.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            156528      0.36%     12.00% # attempts to use FU when none available (Count)
