
---------- Begin Simulation Statistics ----------
simSeconds                                   0.116988                       # Number of seconds simulated (Second)
simTicks                                 116987994648                       # Number of ticks simulated (Tick)
finalTick                                116987994648                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1413.68                       # Real time elapsed on the host (Second)
hostTickRate                                 82754104                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257820                       # Number of bytes of host memory used (Byte)
simInsts                                    261123645                       # Number of instructions simulated (Count)
simOps                                      312341044                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   184712                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     220941                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        245773099                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.940379                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.063401                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335654749                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177468                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331490167                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 194358                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23491172                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19202993                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1326                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           240487448                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.378409                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.351510                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  83395123     34.68%     34.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  56759956     23.60%     58.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51560744     21.44%     79.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  30282061     12.59%     92.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13165617      5.47%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4125675      1.72%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    946657      0.39%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    221165      0.09%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     30450      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             240487448                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 207562      0.87%      0.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3252      0.01%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.89% # attempts to use FU when none available (Count)
