
---------- Begin Simulation Statistics ----------
simSeconds                                   0.140160                       # Number of seconds simulated (Second)
simTicks                                 140160221572                       # Number of ticks simulated (Tick)
finalTick                                140160221572                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1636.06                       # Real time elapsed on the host (Second)
hostTickRate                                 85669372                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8558592                       # Number of bytes of host memory used (Byte)
simInsts                                    314287692                       # Number of instructions simulated (Count)
simOps                                      402599327                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   192100                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     246079                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        294454248                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.936463                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.067848                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       427646959                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    10276                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423117824                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 160774                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             25057907                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          17310099                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2681                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           293697682                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.440658                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.246220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  83567112     28.45%     28.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  79565274     27.09%     55.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  69422019     23.64%     79.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  44025466     14.99%     94.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13373466      4.55%     98.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3349206      1.14%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    377677      0.13%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13538      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3924      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             293697682                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4196544     13.51%     13.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  70575      0.23%     13.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     923      0.00%     13.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     13.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   217      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   79      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     13.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                2881047      9.28%     23.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              946480      3.05%     26.07% # attempts to use FU when none available (Count)
