
---------- Begin Simulation Statistics ----------
simSeconds                                   0.104491                       # Number of seconds simulated (Second)
simTicks                                 104491385768                       # Number of ticks simulated (Tick)
finalTick                                104491385768                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1400.21                       # Real time elapsed on the host (Second)
hostTickRate                                 74625747                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2253996                       # Number of bytes of host memory used (Byte)
simInsts                                    230473173                       # Number of instructions simulated (Count)
simOps                                      321832734                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   164600                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     229847                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        219519719                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952368                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.050014                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333037952                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12126                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331878100                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13337                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11217343                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12552698                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 253                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           219239569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.513769                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.128662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  47980180     21.88%     21.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  60392172     27.55%     49.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  73864662     33.69%     83.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  25814429     11.77%     94.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9844052      4.49%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1127335      0.51%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    216739      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             219239569                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2577533      8.35%      8.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  32056      0.10%      8.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1914      0.01%      8.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 27769      0.09%      8.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  4104      0.01%      8.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    33      0.00%      8.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               178607      0.58%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            100843      0.33%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     1      0.00%      9.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 9845      0.03%      9.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      9.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                 965574      3.13%     12.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     12.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                3673440     11.91%     24.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    304      0.00%     24.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     24.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1373152      4.45%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     28.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           4682351     15.18%     44.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     44.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp           1478591      4.79%     48.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     48.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     48.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     48.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          1241797      4.03%     52.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc        624456      2.02%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     55.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     55.01% # attempts to use FU when none available (Count)
