
---------- Begin Simulation Statistics ----------
simSeconds                                   0.146730                       # Number of seconds simulated (Second)
simTicks                                 146729993088                       # Number of ticks simulated (Tick)
finalTick                                146729993088                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1227.96                       # Real time elapsed on the host (Second)
hostTickRate                                119490452                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8539448                       # Number of bytes of host memory used (Byte)
simInsts                                    238353454                       # Number of instructions simulated (Count)
simOps                                      241296188                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194105                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     196501                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        308256289                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.292583                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.773645                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       248296017                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      435                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      247987769                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7396                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7000263                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7100160                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  70                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           307528845                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.806389                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.857387                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 132192211     42.99%     42.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 117976632     38.36%     81.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  43133603     14.03%     95.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13182010      4.29%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1024287      0.33%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     19866      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       231      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         2      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             307528845                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    501      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       7      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 60167      1.35%      1.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                344764      7.73%      9.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 18032      0.40%      9.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                31359      0.70%     10.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              6082      0.14%     10.34% # attempts to use FU when none available (Count)
