
---------- Begin Simulation Statistics ----------
simSeconds                                   0.136687                       # Number of seconds simulated (Second)
simTicks                                 136686798164                       # Number of ticks simulated (Tick)
finalTick                                136686798164                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1255.87                       # Real time elapsed on the host (Second)
hostTickRate                                108838676                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8544444                       # Number of bytes of host memory used (Byte)
simInsts                                    238353491                       # Number of instructions simulated (Count)
simOps                                      241296226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189792                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     192135                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        287157140                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.204110                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.830489                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252449565                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      508                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      250717860                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31537                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11153846                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12050065                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 143                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           286706687                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.874475                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.949110                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 122554134     42.75%     42.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 101092847     35.26%     78.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  42603699     14.86%     92.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  17670277      6.16%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2535153      0.88%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    237861      0.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     12219      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       423      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        74      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             286706687                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  271371      3.74%      3.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   5975      0.08%      3.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     112      0.00%      3.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 85959      1.18%      5.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                482080      6.65%     11.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 45180      0.62%     12.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               146763      2.02%     14.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             87774      1.21%     15.51% # attempts to use FU when none available (Count)
