
---------- Begin Simulation Statistics ----------
simSeconds                                   0.136789                       # Number of seconds simulated (Second)
simTicks                                 136788665496                       # Number of ticks simulated (Tick)
finalTick                                136788665496                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1255.83                       # Real time elapsed on the host (Second)
hostTickRate                                108923230                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8541496                       # Number of bytes of host memory used (Byte)
simInsts                                    238353454                       # Number of instructions simulated (Count)
simOps                                      241296188                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189798                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     192141                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        287371147                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.205007                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.829871                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252458221                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      510                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      250715883                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24294                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11162542                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12050088                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 145                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           286884401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.873927                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.952615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 122859796     42.83%     42.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 101127194     35.25%     78.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  42509819     14.82%     92.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  17400280      6.07%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2620060      0.91%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    319446      0.11%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     43979      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3749      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        78      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             286884401                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8924      0.13%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4323      0.06%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      70      0.00%      0.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 86335      1.24%      1.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                474786      6.79%      8.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 45584      0.65%      8.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               148184      2.12%     10.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             87730      1.26%     12.25% # attempts to use FU when none available (Count)
