
---------- Begin Simulation Statistics ----------
simSeconds                                   0.146528                       # Number of seconds simulated (Second)
simTicks                                 146527913952                       # Number of ticks simulated (Tick)
finalTick                                146527913952                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1234.40                       # Real time elapsed on the host (Second)
hostTickRate                                118703788                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8548408                       # Number of bytes of host memory used (Byte)
simInsts                                    238353454                       # Number of instructions simulated (Count)
simOps                                      241296188                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193093                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     195477                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        307831753                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.290803                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.774712                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       248296211                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      449                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      247990529                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7523                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7000471                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7123727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  84                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           307438543                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.806634                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.855816                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 131881352     42.90%     42.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 118289506     38.48%     81.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  43094314     14.02%     95.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  13200379      4.29%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    953939      0.31%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18822      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       226      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             307438543                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    576      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      12      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 60170      1.34%      1.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                334742      7.43%      8.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 18389      0.41%      9.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                31495      0.70%      9.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              6095      0.14%     10.02% # attempts to use FU when none available (Count)
