Total Lakage,Runtime Dynamic,CPI,Energy,EDP,label
0.49407,0.63179,1.416044,1.5942672978399999,2.257552641502545,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=16
0.49407,0.63201,1.416111,1.59465427488,2.2582074598545914,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=2
0.49407,0.63179,1.416088,1.5943168356799997,2.2576929392044196,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=4
0.49407,0.63179,1.416027,1.5942481582199997,2.2574984367397914,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=8
0.49411,0.74197,0.99909,1.2349551672,1.2338313579978482,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=16
0.49411,0.74224,0.999572,1.2358208422,1.2352919108795386,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=2
0.49411,0.74197,0.999105,1.2349737084,1.2338684069309822,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=4
0.49411,0.74195,0.999121,1.23497350326,1.2338879615506344,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=8
0.49419,0.77052,0.967015,1.2229935406499999,1.1826530987116597,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=16
0.49419,0.77104,0.967351,1.22392150573,1.1839616924894212,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=2
0.49419,0.7705,0.967037,1.2230020235299999,1.1826882078283805,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=4
0.49419,0.77049,0.967084,1.22305179312,1.1827938202976622,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=8
0.49436,0.83701,0.964179,1.28367899523,1.2376963299418662,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=16
0.49436,0.83735,0.964756,1.28477521276,1.2394945951614866,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=2
0.49436,0.83699,0.96422,1.283714297,1.2377829994533398,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=4
0.49436,0.83699,0.964189,1.28367302515,1.2377034104463531,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=8
0.56438,0.644,1.345988,1.62646497944,2.1892023447464863,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=16
0.56438,0.64423,1.346033,1.62682894413,2.189765444154136,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=2
0.56438,0.644,1.346021,1.62650485598,2.1893096927510554,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=4
0.56438,0.64399,1.346003,1.62646964511,2.1892330217269955,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=8
0.56441,0.76912,0.926249,1.2351808289700001,1.1440850076526337,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=16
0.56441,0.76938,0.926727,1.23605920533,1.1454894391778547,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=2
0.56441,0.7691,0.926294,1.2352223119399999,1.1441790162161503,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=4
0.56441,0.76911,0.926275,1.235206238,1.14414065810345,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=8
