Total Lakage,Runtime Dynamic,CPI,Energy,EDP,label
0.49407,0.62485,1.509943,1.6895054215600003,2.5510568847465716,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=16
0.49407,0.62486,1.509995,1.68957870535,2.551255397184973,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=2
0.49407,0.62484,1.509978,1.6895294839800001,2.5511523511611527,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=4
0.49407,0.62486,1.509994,1.68957758642,2.5512520180286815,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=8
0.49411,0.7273,1.080409,1.3196223566899998,1.425731870769086,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=16
0.49411,0.72725,1.08077,1.3200092472,1.426626394096344,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=2
0.49411,0.72728,1.080471,1.3196764746899998,1.4258721602847788,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=4
0.49411,0.72731,1.080385,1.3196038466999997,1.4256802019169792,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=8
0.49419,0.75425,1.055156,1.31729895664,1.3899558978924358,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=16
0.49419,0.75437,1.055208,1.3174905004799997,1.3902265160304994,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=2
0.49419,0.75425,1.055171,1.3173176832400002,1.3899954171420343,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=4
0.49419,0.75427,1.055056,1.31719521376,1.3897147134487706,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=8
0.49436,0.8337,1.050981,1.39576582686,1.4669233644791495,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=16
0.49436,0.8337,1.051189,1.39604206334,1.4675040605203111,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=2
0.49436,0.83369,1.050956,1.3957221158000002,1.466842531932705,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=4
