Total Lakage,Runtime Dynamic,CPI,Energy,EDP,label
0.49407,0.58621,1.292634,1.3964066575200003,1.8050427233367081,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=16
0.49407,0.58626,1.292282,1.39609101306,1.8041432865392026,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=2
0.49407,0.58622,1.292554,1.39633316066,1.8048360121437257,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=4
0.49407,0.58622,1.292583,1.39636448907,1.804917000375568,l3_cache=1MB_l2_cache=128kB_decode_width=1_num_fu_intALU=8
0.49411,0.60048,1.231202,1.3476613971799998,1.65924340753081,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=16
0.49411,0.59986,1.235043,1.3510999907099996,1.66866658582645,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=2
0.49411,0.60027,1.232459,1.3487784804199998,1.6623141771999526,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=4
0.49411,0.6004,1.231633,1.34803463483,1.6602839413995774,l3_cache=1MB_l2_cache=128kB_decode_width=2_num_fu_intALU=8
0.49419,0.61625,1.20523,1.3383356012,1.6130022166342761,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=16
0.49419,0.6165,1.203912,1.33717301928,1.6098386439874235,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=2
0.49419,0.61623,1.205377,1.3384747283399998,1.6133666526222838,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=4
0.49419,0.61611,1.206031,1.3390562193000002,1.6149433112185987,l3_cache=1MB_l2_cache=128kB_decode_width=4_num_fu_intALU=8
0.49436,0.66231,1.202063,1.3903902102100003,1.6713366272556638,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=16
0.49436,0.66241,1.201727,1.39012174179,1.6705468303960713,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=2
0.49436,0.66209,1.203195,1.39143485775,1.6741674636705113,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=4
0.49436,0.66194,1.203904,1.3920741952,1.675923691898061,l3_cache=1MB_l2_cache=128kB_decode_width=8_num_fu_intALU=8
0.56438,0.58613,1.291323,1.4856800247300002,1.918492786574418,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=16
0.56438,0.58612,1.29135,1.485698175,1.91855633828625,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=2
0.56438,0.58611,1.291443,1.48579225707,1.9188160098472518,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=4
0.56438,0.58611,1.291427,1.48577384923,1.9187684647895515,l3_cache=1MB_l2_cache=1MB_decode_width=1_num_fu_intALU=8
0.56441,0.60012,1.231849,1.43452511597,1.7671183295825286,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=16
0.56441,0.6001,1.231894,1.43455288194,1.7672170879445943,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=2
0.56441,0.60009,1.231964,1.4346220779999999,1.7674027537011918,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=4
0.56441,0.60009,1.232025,1.4346931124999998,1.767577781927812,l3_cache=1MB_l2_cache=1MB_decode_width=2_num_fu_intALU=8
0.5645,0.61647,1.202543,1.4201672067099997,1.707812133258663,l3_cache=1MB_l2_cache=1MB_decode_width=4_num_fu_intALU=16
0.5645,0.6162,1.20411,1.4216926769999998,1.7118743693024698,l3_cache=1MB_l2_cache=1MB_decode_width=4_num_fu_intALU=2
0.5645,0.61639,1.202951,1.4205528063900001,1.7088554189996572,l3_cache=1MB_l2_cache=1MB_decode_width=4_num_fu_intALU=4
0.5645,0.61622,1.203937,1.42151249464,1.7114114882593976,l3_cache=1MB_l2_cache=1MB_decode_width=4_num_fu_intALU=8
0.56466,0.66235,1.200785,1.47337520285,1.7692068429542374,l3_cache=1MB_l2_cache=1MB_decode_width=8_num_fu_intALU=16
0.56466,0.66204,1.202253,1.4748037551000002,1.7730872389802406,l3_cache=1MB_l2_cache=1MB_decode_width=8_num_fu_intALU=2
0.56466,0.66218,1.201531,1.47408629204,1.771160376561113,l3_cache=1MB_l2_cache=1MB_decode_width=8_num_fu_intALU=4
0.56466,0.66196,1.202574,1.47510131988,1.7739184946533713,l3_cache=1MB_l2_cache=1MB_decode_width=8_num_fu_intALU=8
0.50462,0.58665,1.289638,1.40734326026,1.814963347475186,l3_cache=1MB_l2_cache=256kB_decode_width=1_num_fu_intALU=16
0.50462,0.58663,1.289813,1.40750843625,1.8154226786849215,l3_cache=1MB_l2_cache=256kB_decode_width=1_num_fu_intALU=2
0.50462,0.58655,1.290384,1.40802830928,1.8168972018419633,l3_cache=1MB_l2_cache=256kB_decode_width=1_num_fu_intALU=4
0.50462,0.58662,1.289864,1.4075511913599998,1.8155496098923747,l3_cache=1MB_l2_cache=256kB_decode_width=1_num_fu_intALU=8
0.50466,0.60039,1.231904,1.3613155152,1.677010028436941,l3_cache=1MB_l2_cache=256kB_decode_width=2_num_fu_intALU=16
0.50466,0.60017,1.233209,1.36248629947,1.6802303668830991,l3_cache=1MB_l2_cache=256kB_decode_width=2_num_fu_intALU=2
0.50466,0.6005,1.231164,1.3606332062400002,1.6751626207272634,l3_cache=1MB_l2_cache=256kB_decode_width=2_num_fu_intALU=4
0.50466,0.60051,1.23113,1.3606079421000001,1.6750852557575733,l3_cache=1MB_l2_cache=256kB_decode_width=2_num_fu_intALU=8
0.50474,0.61629,1.205169,1.35103060407,1.6282202020764378,l3_cache=1MB_l2_cache=256kB_decode_width=4_num_fu_intALU=16
0.50474,0.61641,1.204517,1.35044423455,1.6266330380674625,l3_cache=1MB_l2_cache=256kB_decode_width=4_num_fu_intALU=2
0.50474,0.61637,1.204692,1.35059224812,1.627047676572179,l3_cache=1MB_l2_cache=256kB_decode_width=4_num_fu_intALU=4
0.50474,0.61645,1.204287,1.35023454153,1.6260699053155394,l3_cache=1MB_l2_cache=256kB_decode_width=4_num_fu_intALU=8
0.50491,0.66214,1.20306,1.404031173,1.68913374298938,l3_cache=1MB_l2_cache=256kB_decode_width=8_num_fu_intALU=16
0.50491,0.66233,1.202214,1.40327226936,1.6870335680363628,l3_cache=1MB_l2_cache=256kB_decode_width=8_num_fu_intALU=2
0.50491,0.6622,1.202797,1.40379640667,1.6884821065534559,l3_cache=1MB_l2_cache=256kB_decode_width=8_num_fu_intALU=4
0.50491,0.66249,1.201492,1.4026217608,1.6852388246271137,l3_cache=1MB_l2_cache=256kB_decode_width=8_num_fu_intALU=8
0.52533,0.58629,1.291816,1.43600850192,1.8550587589162868,l3_cache=1MB_l2_cache=512kB_decode_width=1_num_fu_intALU=16
0.52533,0.58633,1.291522,1.4357333465200002,1.8542812031642038,l3_cache=1MB_l2_cache=512kB_decode_width=1_num_fu_intALU=2
0.52533,0.5863,1.291738,1.43593471294,1.8548514342236897,l3_cache=1MB_l2_cache=512kB_decode_width=1_num_fu_intALU=4
0.52533,0.58631,1.291676,1.43587870864,1.8546900668612807,l3_cache=1MB_l2_cache=512kB_decode_width=1_num_fu_intALU=8
0.52537,0.6003,1.232216,1.38706858472,1.7091681031893393,l3_cache=1MB_l2_cache=512kB_decode_width=2_num_fu_intALU=16
0.52537,0.60024,1.232569,1.38739199209,1.7100563602983792,l3_cache=1MB_l2_cache=512kB_decode_width=2_num_fu_intALU=2
0.52537,0.60037,1.231747,1.3866268677799998,1.7079734845074113,l3_cache=1MB_l2_cache=512kB_decode_width=2_num_fu_intALU=4
0.52537,0.60042,1.231441,1.3863439633899999,1.7072007966209448,l3_cache=1MB_l2_cache=512kB_decode_width=2_num_fu_intALU=8
0.52545,0.61639,1.204375,1.37520355,1.65626077553125,l3_cache=1MB_l2_cache=512kB_decode_width=4_num_fu_intALU=16
0.52545,0.61609,1.206114,1.3768273755599998,1.6606107732461735,l3_cache=1MB_l2_cache=512kB_decode_width=4_num_fu_intALU=2
0.52545,0.6163,1.205007,1.37581674225,1.6578688051284458,l3_cache=1MB_l2_cache=512kB_decode_width=4_num_fu_intALU=4
0.52545,0.61639,1.204365,1.3751921315999998,1.6562332715744337,l3_cache=1MB_l2_cache=512kB_decode_width=4_num_fu_intALU=8
0.52562,0.66219,1.202627,1.4284923768699997,1.7179435017180371,l3_cache=1MB_l2_cache=512kB_decode_width=8_num_fu_intALU=16
0.52562,0.66236,1.201983,1.42793176434,1.7163497058966863,l3_cache=1MB_l2_cache=512kB_decode_width=8_num_fu_intALU=2
0.52562,0.66242,1.201592,1.42753935968,1.7153198742766105,l3_cache=1MB_l2_cache=512kB_decode_width=8_num_fu_intALU=4
0.52562,0.66205,1.203376,1.42921357392,1.7198813137295539,l3_cache=1MB_l2_cache=512kB_decode_width=8_num_fu_intALU=8
0.5319,0.58588,1.291456,1.44356368768,1.864298985836462,l3_cache=2MB_l2_cache=128kB_decode_width=1_num_fu_intALU=16
0.5319,0.58586,1.29164,1.4437435264,1.8647968884392958,l3_cache=2MB_l2_cache=128kB_decode_width=1_num_fu_intALU=2
0.5319,0.5859,1.291334,1.4434531452,1.8639801238036966,l3_cache=2MB_l2_cache=128kB_decode_width=1_num_fu_intALU=4
0.5319,0.58586,1.291613,1.44371334688,1.8647189271037174,l3_cache=2MB_l2_cache=128kB_decode_width=1_num_fu_intALU=8
0.53193,0.59975,1.232424,1.39470959232,1.7188735746053836,l3_cache=2MB_l2_cache=128kB_decode_width=2_num_fu_intALU=16
0.53193,0.5996,1.233416,1.3956472064800003,1.721413594827736,l3_cache=2MB_l2_cache=128kB_decode_width=2_num_fu_intALU=2
0.53193,0.59971,1.232734,1.39501110376,1.7196776179824798,l3_cache=2MB_l2_cache=128kB_decode_width=2_num_fu_intALU=4
0.53193,0.59966,1.232941,1.39518370619,1.720179193893605,l3_cache=2MB_l2_cache=128kB_decode_width=2_num_fu_intALU=8
0.53202,0.61581,1.204726,1.3828206445799998,1.6659199838622847,l3_cache=2MB_l2_cache=128kB_decode_width=4_num_fu_intALU=16
0.53202,0.61575,1.205046,1.38311564742,1.6667179784608812,l3_cache=2MB_l2_cache=128kB_decode_width=4_num_fu_intALU=2
0.53202,0.61584,1.204575,1.3826834595000002,1.6655459282272127,l3_cache=2MB_l2_cache=128kB_decode_width=4_num_fu_intALU=4
0.53202,0.61587,1.204387,1.3825037934300002,1.6650695962577777,l3_cache=2MB_l2_cache=128kB_decode_width=4_num_fu_intALU=8
0.53219,0.6616,1.203016,1.43614847064,1.7277095885554505,l3_cache=2MB_l2_cache=128kB_decode_width=8_num_fu_intALU=16
0.53219,0.66206,1.200952,1.434236926,1.722449704753552,l3_cache=2MB_l2_cache=128kB_decode_width=8_num_fu_intALU=2
0.53219,0.66202,1.201062,1.4343202510200002,1.7227075493305835,l3_cache=2MB_l2_cache=128kB_decode_width=8_num_fu_intALU=4
0.53219,0.66211,1.200718,1.4340175074000001,1.7218506334503132,l3_cache=2MB_l2_cache=128kB_decode_width=8_num_fu_intALU=8
0.6022,0.58583,1.29103,1.5337823708999998,1.9801590543030265,l3_cache=2MB_l2_cache=1MB_decode_width=1_num_fu_intALU=16
0.6022,0.58578,1.291372,1.53412410856,1.9811249183193442,l3_cache=2MB_l2_cache=1MB_decode_width=1_num_fu_intALU=2
0.6022,0.58584,1.290949,1.5336990499599998,1.9799272548468116,l3_cache=2MB_l2_cache=1MB_decode_width=1_num_fu_intALU=4
0.6022,0.58586,1.290803,1.53355141218,1.9795127634961804,l3_cache=2MB_l2_cache=1MB_decode_width=1_num_fu_intALU=8
0.60224,0.5999,1.230969,1.47979707366,1.8215843239661764,l3_cache=2MB_l2_cache=1MB_decode_width=2_num_fu_intALU=16
0.60224,0.5999,1.23093,1.4797501902,1.8214689016228862,l3_cache=2MB_l2_cache=1MB_decode_width=2_num_fu_intALU=2
0.60224,0.59997,1.230552,1.47938191992,1.820456380321396,l3_cache=2MB_l2_cache=1MB_decode_width=2_num_fu_intALU=4
0.60224,0.6,1.230382,1.47921445568,1.81999884040847,l3_cache=2MB_l2_cache=1MB_decode_width=2_num_fu_intALU=8
0.60232,0.61616,1.202291,1.46496753768,1.761317285844825,l3_cache=2MB_l2_cache=1MB_decode_width=4_num_fu_intALU=16
0.60232,0.61578,1.204445,1.4671344545,1.7670827580502526,l3_cache=2MB_l2_cache=1MB_decode_width=4_num_fu_intALU=2
0.60232,0.61609,1.202599,1.46525864759,1.7621185843330864,l3_cache=2MB_l2_cache=1MB_decode_width=4_num_fu_intALU=4
0.60232,0.61598,1.203237,1.4659036370999998,1.7638294945932924,l3_cache=2MB_l2_cache=1MB_decode_width=4_num_fu_intALU=8
0.60249,0.66204,1.200444,1.51799745132,1.8222709324523862,l3_cache=2MB_l2_cache=1MB_decode_width=8_num_fu_intALU=16
0.60249,0.66195,1.20103,1.5186303732000002,1.8239206371243963,l3_cache=2MB_l2_cache=1MB_decode_width=8_num_fu_intALU=2
0.60249,0.66186,1.201347,1.5189230794499997,1.8247536847280188,l3_cache=2MB_l2_cache=1MB_decode_width=8_num_fu_intALU=4
0.60249,0.66169,1.202134,1.5197137601200001,1.8268995813080964,l3_cache=2MB_l2_cache=1MB_decode_width=8_num_fu_intALU=8
0.54245,0.58621,1.289283,1.4551621507799999,1.8761158232440904,l3_cache=2MB_l2_cache=256kB_decode_width=1_num_fu_intALU=16
0.54245,0.58616,1.289605,1.45546109905,1.8769699106403752,l3_cache=2MB_l2_cache=256kB_decode_width=1_num_fu_intALU=2
0.54245,0.58609,1.290081,1.45590801174,1.878239263693551,l3_cache=2MB_l2_cache=256kB_decode_width=1_num_fu_intALU=4
0.54245,0.58621,1.289305,1.4551869813,1.8761798509249965,l3_cache=2MB_l2_cache=256kB_decode_width=1_num_fu_intALU=8
0.54248,0.60006,1.230622,1.4060348598799999,1.7302974313352453,l3_cache=2MB_l2_cache=256kB_decode_width=2_num_fu_intALU=16
0.54248,0.59993,1.231517,1.4068973359699999,1.7326179865017663,l3_cache=2MB_l2_cache=256kB_decode_width=2_num_fu_intALU=2
0.54248,0.59989,1.231703,1.40706055611,1.7330807081423554,l3_cache=2MB_l2_cache=256kB_decode_width=2_num_fu_intALU=4
0.54248,0.59973,1.232697,1.40799884037,1.7356359465275777,l3_cache=2MB_l2_cache=256kB_decode_width=2_num_fu_intALU=8
0.54257,0.61585,1.204625,1.3954616925,1.6810080413278126,l3_cache=2MB_l2_cache=256kB_decode_width=4_num_fu_intALU=16
0.54257,0.61605,1.203564,1.39447332168,1.6783378889344678,l3_cache=2MB_l2_cache=256kB_decode_width=4_num_fu_intALU=2
0.54257,0.61626,1.202329,1.39329491507,1.675198881941198,l3_cache=2MB_l2_cache=256kB_decode_width=4_num_fu_intALU=4
0.54257,0.61593,1.204182,1.3950448470000003,1.6798878939501545,l3_cache=2MB_l2_cache=256kB_decode_width=4_num_fu_intALU=8
0.54274,0.66211,1.200732,1.4467019501999998,1.737101326067546,l3_cache=2MB_l2_cache=256kB_decode_width=8_num_fu_intALU=16
0.54274,0.66198,1.201397,1.44734699384,1.7388383363583946,l3_cache=2MB_l2_cache=256kB_decode_width=8_num_fu_intALU=2
0.54274,0.66194,1.201543,1.44747482124,1.7392032391371732,l3_cache=2MB_l2_cache=256kB_decode_width=8_num_fu_intALU=4
0.54274,0.66205,1.201031,1.44699013849,1.737880013020783,l3_cache=2MB_l2_cache=256kB_decode_width=8_num_fu_intALU=8
0.56316,0.58589,1.291243,1.4837027691499998,1.915820814745553,l3_cache=2MB_l2_cache=512kB_decode_width=1_num_fu_intALU=16
0.56316,0.58593,1.290999,1.48347404091,1.915163503340769,l3_cache=2MB_l2_cache=512kB_decode_width=1_num_fu_intALU=2
0.56316,0.5859,1.291219,1.4836881041399999,1.9157662701395464,l3_cache=2MB_l2_cache=512kB_decode_width=1_num_fu_intALU=4
